X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
31.1656,48.3794,178,Ukraine,2020/05/21 01:32:45+00,48.3794,31.1656,19230,564,5955,12711,43.9706086092439,,,2.93291731669267,804,UKR
53.847818,23.424076,179,United Arab Emirates,2020/05/21 01:32:45+00,23.424076,53.847818,26004,233,11809,13962,262.921620965785,,,0.89601599753884,784,ARE
-55.7658,-32.5228,180,Uruguay,2020/05/21 01:32:45+00,-32.5228,-55.7658,746,20,588,138,21.4754930367297,,,2.68096514745308,858,URY
64.585262,41.377491,181,Uzbekistan,2020/05/21 01:32:45+00,41.377491,64.585262,2939,13,2372,554,8.78120805938618,,,0.442327322218442,860,UZB
-66.5897,6.4238,182,Venezuela,2020/05/21 01:32:45+00,6.4238,-66.5897,824,10,262,552,2.8977410736827,,,1.21359223300971,862,VEN
108.277199,14.058324,183,Vietnam,2020/05/21 01:32:45+00,14.058324,108.277199,324,0,263,61,0.332858759614366,,,0,704,VNM
35.2332,31.9522,184,West Bank and Gaza,2020/05/21 01:32:45+00,31.9522,35.2332,398,2,346,50,7.80175543417749,,,0.50251256281407,275,PSE
-12.8858,24.2155,185,Western Sahara,2020/05/21 01:32:45+00,24.2155,-12.8858,6,0,6,0,1.00446989101502,,,0,732,ESH
48.516388,15.552727,186,Yemen,2020/05/21 01:32:45+00,15.552727,48.516388,184,30,5,149,0.616912081445269,,,16.304347826087,887,YEM
27.849332,-13.133897,187,Zambia,2020/05/21 01:32:45+00,-13.133897,27.849332,832,7,197,628,4.52568533127473,,,0.841346153846154,894,ZMB
29.154857,-19.015438,188,Zimbabwe,2020/05/21 01:32:45+00,-19.015438,29.154857,48,4,18,26,0.322951192588109,,,8.33333333333333,716,ZWE
